gene,cytoband,CNA,num,freq
AOC3,17q21.31,HOMDEL,816,0.4%
NSMF,9q34.3,HOMDEL,816,0.4%
IFITM1,11p15.5,HOMDEL,816,0.9%
ZBTB18,1q44,AMP,816,14.1%
GPR146,7p22.3,HOMDEL,816,0.5%
RABL6,9q34.3,HOMDEL,816,0.4%
RNA5SP81,1q43,AMP,816,13.7%
RNA5SP82,1q44,AMP,816,14.1%
C19ORF12,19q12,AMP,816,4.0%
UAP1L1,9q34.3,HOMDEL,816,0.4%
NBR2,17q21.31,HOMDEL,816,0.9%
LRRC74A,14q24.3,HOMDEL,816,0.1%
MED27,9q34.13,HOMDEL,816,0.2%
UFSP2,4q35.1,HOMDEL,816,1.7%
PLD5,1q43,AMP,816,14.1%
MLX,17q21.2,HOMDEL,816,0.5%
IQSEC3,12p13.33,AMP,816,4.2%
QSOX2,9q34.3,HOMDEL,816,0.5%
FCN2,9q34.3,HOMDEL,816,0.5%
ASB6,9q34.11,HOMDEL,816,0.4%
TUSC2,3p21.31,HOMDEL,816,0.7%
GAK,4p16.3,HOMDEL,816,0.9%
NLRP3,1q44,AMP,816,14.1%
C8G,9q34.3,HOMDEL,816,0.4%
SIRT5,6p23,AMP,816,2.8%
ALG8,11q14.1,AMP,816,7.5%
ZNF644,1p22.2,HOMDEL,816,0.1%
MAPK11,22q13.33,HOMDEL,816,0.9%
SNX25,4q35.1,HOMDEL,816,1.7%
PRRG4,11p13,AMP,816,3.2%
PLA2G2D,1p36.12,HOMDEL,816,0.5%
PHTF1,1p13.2,HOMDEL,816,0.2%
SPMIP3,1q44,AMP,816,14.0%
DNAAF3,19q13.42,AMP,816,2.6%
BRI3BP,12q24.31,HOMDEL,816,0.2%
ORAI1,12q24.31,HOMDEL,816,0.1%
PADI6,1p36.13,HOMDEL,816,0.6%
DACT3,19q13.32,HOMDEL,816,0.1%
SNX14,6q14.3,HOMDEL,816,0.2%
TRABD,22q13.33,HOMDEL,816,0.9%
ZNF530,19q13.43,AMP,816,2.1%
ESRRA,11q13.1,HOMDEL,816,0.1%
OVOL1,11q13.1,HOMDEL,816,0.2%
SBNO1,12q24.31,HOMDEL,816,0.2%
ZNF670,1q44,AMP,816,14.5%
PGAP3,17q12,AMP,816,12.9%
ZNF496,1q44,AMP,816,14.0%
SNORD62B,9q34.13,HOMDEL,816,0.2%
NAGLU,17q21.2,HOMDEL,816,0.5%
GCN1,12q24.23,HOMDEL,816,0.2%
GALC,14q31.3,HOMDEL,816,0.1%
PRMT6,1p13.3,HOMDEL,816,0.2%
GAPT,5q11.2,HOMDEL,816,1.2%
DUX4L5,4q35.2,HOMDEL,816,2.1%
SF1,11q13.1,HOMDEL,816,0.2%
DHX8,17q21.31,HOMDEL,816,0.5%
USP20,9q34.11,HOMDEL,816,0.4%
COL5A1,9q34.3,HOMDEL,816,0.5%
GPR31,6q27,HOMDEL,816,1.3%
